date,uid,price
2017-07-10,41195147,499
2017-07-15,41195147,499
2017-11-12,41195147,599
2017-09-26,91591874,299
2017-12-01,91591874,599
2016-12-12,90783242,299
2017-06-12,90783242,199
2017-10-11,90783242,899
2017-10-27,90783242,599
2018-01-04,90783242,199
2017-03-18,82460736,599
2017-04-21,82460736,499
2017-04-30,82460736,199
2017-09-01,82460736,599
2017-12-09,82460736,499
2018-01-04,82460736,599
2018-02-27,82460736,299
2017-05-22,71910153,299
2018-03-01,71910153,99
2016-05-12,22870987,599
2017-09-30,22870987,199
2018-03-12,22870987,299
2018-03-18,22870987,599
2018-04-09,22870987,599
2017-01-06,24040897,199
2017-05-24,24040897,199
2017-07-09,24040897,499
2017-07-16,24040897,299
2017-09-04,24040897,199
2017-09-05,24040897,599
2018-01-03,24040897,599
2018-01-13,24040897,599
2018-01-17,24040897,299
2017-08-02,25494681,499
2017-01-12,88736154,899
2017-03-26,88736154,499
2017-11-17,88736154,299
2018-01-14,88736154,599
2018-04-08,88736154,599
2017-05-25,20028373,299
2017-07-19,20028373,599
2017-11-04,20028373,599
2016-12-01,61859775,499
2017-03-25,61859775,199
2017-04-05,61859775,299
2017-08-16,61859775,199
2017-12-08,61859775,299
2017-03-04,85581663,599
2018-03-03,85581663,599
2016-11-25,94805819,199
2016-12-27,94805819,299
2017-08-10,94805819,899
2017-09-18,94805819,299
2017-10-21,94805819,499
2018-04-20,94805819,499
2017-01-06,97477450,299
2017-03-01,97477450,199
2017-09-23,97477450,599
2016-05-12,42175154,199
2016-05-24,42175154,499
2016-05-25,42175154,499
2016-08-17,42175154,199
2017-05-17,42175154,299
2017-05-31,42175154,199
2017-06-04,42175154,199
2017-08-25,42175154,599
2017-11-04,42175154,99
2018-02-02,42175154,299
2017-09-08,73506150,499
2018-01-28,73506150,199
2018-02-11,73506150,599
2016-07-28,65326997,499
2016-08-13,65326997,99
2016-11-10,65326997,599
2016-12-27,65326997,499
2017-01-21,65326997,499
2017-06-14,65326997,199
2017-06-17,65326997,899
2017-10-15,65326997,299
2017-12-09,65326997,499
2018-01-10,65326997,299
2018-02-06,65326997,499
2018-02-08,65326997,199
2018-03-02,65326997,499
2018-03-10,65326997,499
2017-07-02,59336220,599
2017-10-13,59336220,499
2017-07-02,73194768,599
2017-08-21,73194768,299
2017-11-24,73194768,599
2017-11-28,73194768,599
2018-01-18,73194768,99
2016-12-08,45588501,599
2017-09-26,45588501,599
2017-11-22,45588501,599
2018-01-01,45588501,199
2018-04-02,45588501,299
2015-09-30,99750472,299
2016-01-04,99750472,599
2016-07-29,99750472,299
2016-08-04,99750472,499
2016-09-20,99750472,99
2016-10-19,99750472,199
2016-11-14,99750472,199
2017-07-01,99750472,599
2018-02-10,99750472,499
2017-12-29,91907334,499
2018-02-14,91907334,299
2018-03-11,91907334,599
2017-10-27,11317978,499
2018-01-23,11317978,199
2017-11-18,64385442,599
2016-02-04,45291836,599
2016-03-04,45291836,599
2016-12-02,45291836,499
2017-01-23,45291836,499
2017-02-10,45291836,299
2017-09-30,45291836,599
2017-11-16,45291836,299
2018-01-17,45291836,199
2018-02-25,45291836,199
2017-10-07,68561600,499
2017-11-06,68561600,99
2018-04-04,68561600,499
2017-01-16,80470829,599
2017-06-30,80470829,299
2017-08-21,80470829,299
2017-10-11,80470829,899
2017-09-02,28815740,199
2017-09-12,28815740,299
2017-12-27,28815740,599
2018-01-17,28815740,299
2018-03-25,28815740,599
2018-03-30,28815740,99
2018-04-16,28815740,299
2016-12-18,81375196,499
2017-02-18,81375196,599
2017-05-06,81375196,199
2017-05-11,81375196,499
2017-06-12,81375196,299
2017-09-30,81375196,499
2017-10-13,81375196,499
2018-01-01,81375196,599
2018-02-23,81375196,499
2018-03-14,81375196,199
2017-08-10,77965862,199
2018-02-15,77965862,499
2018-03-17,77965862,599
2018-03-21,77965862,199
2018-04-08,77965862,499
2017-06-07,55317289,299
2017-06-25,55317289,299
2017-11-06,55317289,199
2017-11-23,55317289,499
2016-03-30,94055095,599
2016-06-28,94055095,199
2016-07-08,94055095,299
2016-09-10,94055095,499
2017-02-15,94055095,199
2017-04-05,94055095,199
2017-07-15,94055095,199
2017-12-26,94055095,599
2018-01-17,94055095,299
2016-08-06,88221628,299
2016-08-09,88221628,499
2016-08-24,88221628,299
2017-05-22,88221628,99
2017-09-23,88221628,299
2017-12-30,88221628,499
2017-09-13,31430489,199
2018-02-22,31430489,299
2018-03-10,31430489,499
2018-03-19,31430489,899
2015-10-28,69627745,199
2015-11-17,69627745,199
2015-11-22,69627745,599
2016-03-15,69627745,499
2016-03-17,69627745,99
2016-06-28,69627745,99
2017-05-26,69627745,299
2017-06-18,69627745,199
2017-07-21,69627745,599
2017-07-25,69627745,499
2017-10-14,69627745,199
2017-10-20,69627745,499
2017-12-30,69627745,199
2018-03-30,55123312,299
2016-12-14,70272555,899
2017-05-30,70272555,199
2017-06-12,70272555,199
2018-01-11,70272555,299
2017-12-26,17706865,599
2018-03-29,17706865,899
2017-11-15,97665653,199
2017-03-23,22238074,599
2017-07-27,22238074,599
2016-12-31,80938684,499
2017-03-27,80938684,499
2017-04-24,80938684,299
2017-05-25,80938684,299
2017-06-16,80938684,299
2018-01-04,80938684,499
2016-08-23,40161615,599
2016-09-17,40161615,299
2016-10-14,40161615,199
2017-02-27,40161615,299
2017-06-26,40161615,899
2017-10-22,40161615,499
2018-03-03,40161615,199
2017-08-16,84852701,199
2017-08-26,84852701,499
2017-10-07,84852701,199
2016-07-11,35008108,499
2016-12-04,35008108,899
2017-03-10,35008108,99
2017-05-23,35008108,299
2017-09-29,35008108,299
2018-04-18,35008108,299
2017-08-12,83789648,99
2015-08-04,68568102,299
2016-04-02,68568102,199
2016-06-08,68568102,299
2016-06-16,68568102,499
2016-07-29,68568102,299
2017-03-23,68568102,899
2017-12-10,68568102,299
2017-12-14,68568102,599
2018-03-06,68568102,899
2018-03-25,68568102,199
2016-04-11,88263172,899
2016-06-24,88263172,199
2016-10-12,88263172,199
2016-12-26,88263172,299
2017-04-22,88263172,499
2017-12-24,88263172,899
2016-10-19,25218349,499
2016-11-01,25218349,599
2017-01-01,25218349,199
2018-02-09,25218349,599
2018-04-12,25218349,199
2016-03-02,99381970,499
2016-05-26,99381970,199
2016-08-01,99381970,499
2016-09-11,99381970,499
2017-01-13,99381970,299
2017-03-06,99381970,299
2017-05-25,99381970,299
2017-07-07,99381970,599
2017-10-10,99381970,499
2018-03-15,99381970,499
2016-09-09,33097171,199
