uid,reg_date,device,gender,country,age
54030035,2017-06-29T00:00:00Z,and,M,USA,19
72574201,2018-03-05T00:00:00Z,iOS,F,TUR,22
64187558,2016-02-07T00:00:00Z,iOS,M,USA,16
92513925,2017-05-25T00:00:00Z,and,M,BRA,41
99231338,2017-03-26T00:00:00Z,iOS,M,FRA,59
64229733,2017-05-17T00:00:00Z,and,F,USA,17
16377492,2016-10-16T00:00:00Z,and,M,BRA,20
36350096,2017-04-07T00:00:00Z,and,M,USA,23
98955454,2016-08-11T00:00:00Z,and,M,USA,22
40461463,2017-07-16T00:00:00Z,and,M,BRA,32
99094125,2016-02-11T00:00:00Z,iOS,M,USA,16
60943517,2018-03-07T00:00:00Z,and,M,USA,22
13373345,2017-09-08T00:00:00Z,and,M,USA,19
89447705,2017-11-06T00:00:00Z,and,F,USA,20
74263197,2017-06-22T00:00:00Z,and,F,BRA,24
58375061,2016-06-26T00:00:00Z,iOS,M,USA,25
61798397,2016-12-29T00:00:00Z,and,F,USA,23
73480791,2017-08-20T00:00:00Z,iOS,M,BRA,45
50777128,2017-08-10T00:00:00Z,iOS,F,DEU,30
89464221,2018-01-24T00:00:00Z,iOS,F,USA,21
53378171,2017-12-02T00:00:00Z,iOS,M,USA,23
75142313,2017-05-30T00:00:00Z,iOS,F,USA,83
72086031,2017-03-28T00:00:00Z,iOS,F,USA,52
96565337,2018-01-16T00:00:00Z,and,M,DEU,20
36476360,2018-01-29T00:00:00Z,iOS,M,FRA,19
20819344,2017-11-09T00:00:00Z,and,M,BRA,33
16113980,2017-06-17T00:00:00Z,and,F,CAN,17
12223114,2017-07-08T00:00:00Z,and,F,BRA,16
89173956,2016-05-28T00:00:00Z,and,F,DEU,25
66770349,2018-02-17T00:00:00Z,and,F,USA,16
24708291,2016-01-28T00:00:00Z,and,F,TUR,37
66835609,2018-03-08T00:00:00Z,and,M,BRA,19
25358483,2016-04-07T00:00:00Z,and,M,USA,64
61509814,2017-08-18T00:00:00Z,iOS,F,USA,22
18720551,2017-07-05T00:00:00Z,iOS,M,DEU,24
87711484,2018-01-19T00:00:00Z,iOS,M,USA,19
43052026,2016-10-31T00:00:00Z,iOS,M,DEU,35
53111877,2017-02-15T00:00:00Z,iOS,M,USA,16
30657860,2016-09-28T00:00:00Z,and,M,USA,22
79481427,2016-03-03T00:00:00Z,and,M,TUR,17
30363170,2016-09-11T00:00:00Z,iOS,F,TUR,20
74247839,2017-04-04T00:00:00Z,and,F,USA,19
38628362,2018-03-08T00:00:00Z,and,F,USA,15
15487475,2017-11-19T00:00:00Z,iOS,F,CAN,17
25033821,2016-08-19T00:00:00Z,iOS,F,USA,21
90562190,2017-09-04T00:00:00Z,iOS,M,TUR,16
35580487,2017-09-29T00:00:00Z,and,F,USA,24
72243472,2015-08-03T00:00:00Z,iOS,F,USA,15
11309555,2015-02-16T00:00:00Z,and,F,USA,24
